-251.712, -251.532, -251.532
-252.677, -252.956, -252.677
-251.155, -252.525, -251.155
-251.401, -252.211, -251.401
-252.6, -253.123, -252.6
-251.192, -252.774, -251.192
-251.843, -251.831, -251.831
-252.704, -252.512, -252.512
-252.276, -252.281, -252.276
-251.412, -251.952, -251.412
-253.048, -252.655, -252.655
-251.694, -252.923, -251.694
-251.714, -252.09, -251.714
-252.515, -252.706, -252.515
-251.567, -252.342, -251.567
-251.726, -251.567, -251.567
-252.5, -252.649, -252.5
-251.51, -252.55, -251.51
-251.896, -251.908, -251.896
-252.692, -252.846, -252.692
-251.768, -252.04, -251.768
-252.118, -252.72, -252.118
-251.99, -252.544, -251.99
-251.697, -252.692, -251.697
-251.37, -252.397, -251.37
-252.291, -252.846, -252.291
-251.27, -252.742, -251.27
-251.779, -252.196, -251.779
-251.811, -253.025, -251.811
-251.086, -252.655, -251.086
-252.52, -251.357, -251.357
-252.246, -252.695, -252.246
-251.46, -252.221, -251.46
-250.928, -252.389, -250.928
-251.461, -252.624, -251.461
-251.792, -252.405, -251.792
-251.779, -251.792, -251.779
-251.913, -252.9, -251.913
-251.482, -252.831, -251.482
-251.518, -252.246, -251.518
-252.509, -253.277, -252.509
-251.383, -252.658, -251.383
-251.314, -252.345, -251.314
-251.492, -252.839, -251.492
-251.289, -252.4, -251.289
-251.325, -252.265, -251.325
-251.52, -252.526, -251.52
-251.131, -252.354, -251.131
-250.687, -251.89, -250.687
-251.581, -252.634, -251.581
-251.467, -252.313, -251.467
-250.848, -252.634, -250.848
-252.408, -252.849, -252.408
-250.677, -252.97, -250.677
-251.572, -251.21, -251.21
-250.983, -252.845, -250.983
-251.462, -252.404, -251.462
-251.279, -252.397, -251.279
-251.741, -253.066, -251.741
-250.945, -252.784, -250.945
-251.743, -251.357, -251.357
-251.401, -252.821, -251.401
-251.352, -252.405, -251.352
-250.528, -252.16, -250.528
-251.729, -252.995, -251.729
-251.308, -252.875, -251.308
-250.796, -251.575, -250.796
-251.624, -252.832, -251.624
-251.089, -252.399, -251.089
-250.657, -251.864, -250.657
-251.451, -252.423, -251.451
-249.628, -252.809, -249.628
-250.611, -252.041, -250.611
-251.079, -252.594, -251.079
-249.827, -252.429, -249.827
-250.767, -251.731, -250.767
-249.95, -252.977, -249.95
-249.562, -252.446, -249.562
-251.116, -252.382, -251.116
-250.105, -252.859, -250.105
-249.463, -252.367, -249.463
-249.581, -252.566, -249.581
-249.63, -252.573, -249.63
-249.254, -252.549, -249.254
-250.163, -252.215, -250.163
-249.834, -252.856, -249.834
-248.612, -252.472, -248.612
-249.268, -252.289, -249.268
-249.838, -252.7, -249.838
-248.786, -252.77, -248.786
-249.725, -252.378, -249.725
-249.202, -252.636, -249.202
-248.852, -252.183, -248.852
-248.244, -252.829, -248.244
-249.514, -252.841, -249.514
-248.359, -252.26, -248.359
-246.726, -252.265, -246.726
-248.319, -252.281, -248.319
-249.261, -251.271, -249.261
-248.83, -250.462, -248.83
-248.848, -251.971, -248.848
-248.463, -251.62, -248.463
-247.225, -252.329, -247.225
-248.765, -252.124, -248.765
-246.707, -252.067, -246.707
-246.436, -252.088, -246.436
-248.168, -251.817, -248.168
-247.261, -251.879, -247.261
-247.16, -251.252, -247.16
-248.14, -251.099, -248.14
-246.825, -251.649, -246.825
-247.302, -250.681, -247.302
-247.689, -252.136, -247.689
-246.792, -250.162, -246.792
-246.742, -250.532, -246.742
-246.05, -251.927, -246.05
-247.025, -249.282, -247.025
-245.425, -250.545, -245.425
-246.27, -251.214, -246.27
-245.127, -250.834, -245.127
-243.845, -250.471, -243.845
-245.812, -250.029, -245.812
